Source,Target,Weight
1939,1010,1
1908,1728,1
1590,689,1
1734,1730,2
1944,1591,2
1922,1012,1
211,209,6
1587,428,2
1762,1979,3
1117,208,1
1919,1979,1
1979,208,1
1587,90,2
1979,1728,1
1010,1919,1
93,1730,2
1773,1923,1
1770,1977,1
93,210,1
1010,1965,1
890,1823,1
213,1734,1
1010,1619,12
215,1762,4
1012,1747,1
1769,1821,2
1012,1103,1
1739,1965,1
1922,122,1
1979,1974,1
215,1731,1
1773,1010,1
1729,213,1
694,1845,1
1730,1728,1
204,206,2
2024,2014,2
1929,1015,2
1772,1015,1
1845,1741,1
208,354,1
1969,1587,1
1012,90,23
1832,211,1
1728,1729,4
1010,1934,4
1015,1762,1
353,1760,1
1614,890,3
1563,90,1
121,206,1
1821,2024,1
1012,1770,8
1774,1919,2
1771,206,1
1613,1616,1
1103,1015,1
1012,1541,1
1010,1536,6
1589,219,1
207,1587,1
1736,1813,1
1754,209,5
1737,211,8
1762,207,2
1754,432,1
1010,93,4
1760,353,18
1730,354,37
124,121,1
430,1589,1
1534,1011,1
2014,1587,7
1736,1982,4
1967,354,3
1923,1921,1
1010,1613,2
430,353,1
1728,1806,1
1844,1010,3
1977,211,1
1587,1012,22
1012,1816,1
1015,1012,128
1589,210,2
1845,1618,1
1737,1010,2
1737,1983,2
1587,388,1
1979,354,2
1010,1974,2
1590,1980,1
1595,1806,1
1591,1589,1
1823,1010,4
1117,354,1
207,1810,1
388,1590,3
2014,1810,1
211,1984,1
124,207,1
1010,1982,2
1982,209,1
1767,1962,1
93,1767,1
1012,2016,2
211,1729,54
1588,206,1
2014,1736,1
1909,1011,2
1982,206,2
1010,1015,35
1917,1922,1
1821,1589,9
124,1590,1
1685,1605,3
1974,354,1
1768,1010,4
90,1732,3
1736,1595,1
1012,210,2
1758,1756,1
1954,1738,1
1614,1010,1
1984,211,1
1587,219,1
2044,209,1
1010,90,18
1015,1934,11
552,1954,2
2014,1590,2
1736,1979,4
210,1590,5
1593,1589,1
1618,1616,3
1772,96,1
1845,124,2
1770,1012,24
1729,1730,7
1806,211,1
1770,1771,5
1590,1010,1
2044,1108,1
1592,354,3
1984,1010,1
93,1844,1
1769,1117,1
1589,213,2
210,208,1
1821,1981,1
1683,890,1
209,1592,1
890,1732,1
1741,1816,1
210,1015,2
1010,1587,2
1103,1923,1
1616,1614,1
1771,1935,1
96,1756,1
1821,1769,2
211,1969,1
1754,206,8
1964,1618,1
1917,1768,1
1758,354,46
210,1762,1
1728,1978,1
1012,1919,1
354,1967,2
1616,220,1
1771,209,2
1614,209,1
1750,124,1
1587,2014,19
1618,1845,4
90,432,1
1589,1593,1
204,1589,16
1935,1108,1
1587,1590,5
1758,1968,3
